,Date,Temperature,Gas_Price,Oil_Price
0,1/1/2024,27.0,21180.0,19780.0
1,2/1/2024,27.0,21180.0,19780.0
2,3/1/2024,26.5,21180.0,19780.0
3,4/1/2024,25.5,21000.0,19360.0
4,5/1/2024,25.5,21000.0,19360.0
5,6/1/2024,26.0,21000.0,19360.0
6,7/1/2024,26.5,21000.0,19360.0
7,8/1/2024,25.5,21000.0,19360.0
8,9/1/2024,25.5,21000.0,19360.0
9,10/1/2024,27.0,21000.0,19360.0
10,11/1/2024,26.0,21040.0,19700.0
11,12/1/2024,25.5,21040.0,19700.0
12,13/1/2024,26.0,21040.0,19700.0
13,14/1/2024,25.5,21040.0,19700.0
14,15/1/2024,26.0,21040.0,19700.0
15,16/1/2024,26.5,21040.0,19700.0
16,17/1/2024,25.0,21040.0,19700.0
17,18/1/2024,26.0,21410.0,20190.0
18,19/1/2024,25.5,21410.0,20190.0
19,20/1/2024,25.0,21410.0,20190.0
20,21/1/2024,25.5,21410.0,20190.0
21,22/1/2024,26.0,21410.0,20190.0
22,23/1/2024,26.0,21410.0,20190.0
23,24/1/2024,24.0,21410.0,20190.0
24,25/1/2024,25.0,22170.0,20370.0
25,26/1/2024,25.5,22170.0,20370.0
26,27/1/2024,26.0,22170.0,20370.0
27,28/1/2024,25.0,22170.0,20370.0
28,29/1/2024,26.0,22170.0,20370.0
29,30/1/2024,25.0,22170.0,20370.0
30,31/1/2024,25.5,22170.0,20370.0
31,1/2/2024,25.5,22910.0,20990.0
32,2/2/2024,25.0,22910.0,20990.0
33,3/2/2024,25.5,22910.0,20990.0
34,4/2/2024,26.0,22910.0,20990.0
35,5/2/2024,26.5,22910.0,20990.0
36,6/2/2024,27.0,22910.0,20990.0
37,7/2/2024,26.5,22910.0,20990.0
38,8/2/2024,26.0,22120.0,20700.0
39,9/2/2024,26.0,22120.0,20700.0
40,10/2/2024,25.5,22120.0,20700.0
41,11/2/2024,25.0,22120.0,20700.0
42,12/2/2024,25.5,22120.0,20700.0
43,13/2/2024,25.0,22120.0,20700.0
44,14/2/2024,25.5,22120.0,20700.0
45,15/2/2024,26.5,22830.0,21360.0
46,16/2/2024,26.5,22830.0,21360.0
47,17/2/2024,26.0,22830.0,21360.0
48,18/2/2024,26.0,22830.0,21360.0
49,19/2/2024,28.0,22830.0,21360.0
50,20/2/2024,28.0,22830.0,21360.0
51,21/2/2024,28.0,22830.0,21360.0
52,22/2/2024,28.0,23590.0,20910.0
53,23/2/2024,27.0,23590.0,20910.0
54,24/2/2024,27.0,23590.0,20910.0
55,25/2/2024,27.5,23590.0,20910.0
56,26/2/2024,26.0,23590.0,20910.0
57,27/2/2024,26.5,23590.0,20910.0
58,28/2/2024,27.0,23590.0,20910.0
59,29/2/2024,27.0,22750.0,20770.0
60,1/3/2024,27.5,22750.0,20770.0
61,2/3/2024,27.5,22750.0,20770.0
62,3/3/2024,27.5,22750.0,20770.0
63,4/3/2024,26.5,22750.0,20770.0
64,5/3/2024,26.5,22750.0,20770.0
65,6/3/2024,27.5,22750.0,20770.0
66,7/3/2024,28.0,22510.0,20470.0
67,8/3/2024,28.0,22510.0,20470.0
68,9/3/2024,27.0,22510.0,20470.0
69,10/3/2024,27.5,22510.0,20470.0
70,11/3/2024,27.5,22510.0,20470.0
71,12/3/2024,28.0,22510.0,20470.0
72,13/3/2024,27.0,22510.0,20470.0
73,14/3/2024,28.0,22490.0,20540.0
74,15/3/2024,27.5,22490.0,20540.0
75,16/3/2024,28.0,22490.0,20540.0
76,17/3/2024,28.0,22490.0,20540.0
77,18/3/2024,27.5,22490.0,20540.0
78,19/3/2024,27.0,22490.0,20540.0
79,20/3/2024,28.0,22490.0,20540.0
80,21/3/2024,28.0,23210.0,21010.0
81,22/3/2024,26.5,23210.0,21010.0
82,23/3/2024,27.5,23210.0,21010.0
83,24/3/2024,28.5,23210.0,21010.0
84,25/3/2024,29.0,23210.0,21010.0
85,26/3/2024,28.0,23210.0,21010.0
86,27/3/2024,29.5,23210.0,21010.0
87,28/3/2024,29.5,23620.0,20690.0
88,29/3/2024,29.5,23620.0,20690.0
89,30/3/2024,29.5,23620.0,20690.0
90,31/3/2024,29.0,23620.0,20690.0
91,1/4/2024,29.5,23620.0,20690.0
92,2/4/2024,29.5,23620.0,20690.0
93,3/4/2024,29.5,23620.0,20690.0
94,4/4/2024,29.0,23910.0,20980.0
95,5/4/2024,29.5,23910.0,20980.0
96,6/4/2024,29.5,23910.0,20980.0
97,7/4/2024,28.5,23910.0,20980.0
98,8/4/2024,29.5,23910.0,20980.0
99,9/4/2024,29.5,23910.0,20980.0
100,10/4/2024,29.0,23910.0,20980.0
101,11/4/2024,28.0,23840.0,21610.0
102,12/4/2024,29.0,23840.0,21610.0
103,13/4/2024,29.5,23840.0,21610.0
104,14/4/2024,29.5,23840.0,21610.0
105,15/4/2024,29.5,23840.0,21610.0
106,16/4/2024,29.5,23840.0,21610.0
107,17/4/2024,29.5,24220.0,21440.0
108,18/4/2024,30.0,24220.0,21440.0
109,19/4/2024,30.0,24220.0,21440.0
110,20/4/2024,30.0,24220.0,21440.0
111,21/4/2024,30.0,24220.0,21440.0
112,22/4/2024,30.0,24220.0,21440.0
113,23/4/2024,30.5,24220.0,21440.0
114,24/4/2024,30.0,24220.0,21440.0
115,25/4/2024,31.0,23910.0,20710.0
116,26/4/2024,30.0,23910.0,20710.0
117,27/4/2024,30.5,23910.0,20710.0
118,28/4/2024,31.5,23910.0,20710.0
119,29/4/2024,30.5,23910.0,20710.0
120,30/4/2024,30.5,23910.0,20710.0
121,1/5/2024,31.5,23910.0,20710.0
122,2/5/2024,31.0,23910.0,20600.0
123,3/5/2024,31.5,23910.0,20600.0
124,4/5/2024,30.5,23910.0,20600.0
125,5/5/2024,31.5,23910.0,20600.0
126,6/5/2024,32.0,23910.0,20600.0
127,7/5/2024,31.0,23910.0,20600.0
128,8/5/2024,29.0,23910.0,20600.0
129,9/5/2024,29.5,22620.0,19840.0
130,10/5/2024,31.0,22620.0,19840.0
131,11/5/2024,30.5,22620.0,19840.0
132,12/5/2024,31.5,22620.0,19840.0
133,13/5/2024,31.0,22620.0,19840.0
134,14/5/2024,30.5,22620.0,19840.0
135,15/5/2024,28.5,22620.0,19840.0
136,16/5/2024,29.5,22110.0,19870.0
137,17/5/2024,30.5,22110.0,19870.0
138,18/5/2024,30.0,22110.0,19870.0
139,19/5/2024,30.0,22110.0,19870.0
140,20/5/2024,28.5,22110.0,19870.0
141,21/5/2024,27.5,22110.0,19870.0
142,22/5/2024,30.0,22110.0,19870.0
143,23/5/2024,30.5,22270.0,19830.0
144,24/5/2024,31.0,22270.0,19830.0
145,25/5/2024,31.5,22270.0,19830.0
146,26/5/2024,31.5,22270.0,19830.0
147,27/5/2024,32.0,22270.0,19830.0
148,28/5/2024,32.5,22270.0,19830.0
149,29/5/2024,29.5,22270.0,19830.0
150,30/5/2024,29.5,21750.0,19740.0
151,31/5/2024,31.0,21750.0,19740.0
